RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,RecipeIngredientQuantities,RecipeIngredientParts,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
38,Low-Fat Berry Blue Frozen Dessert,1533,Dancer,1440,45,1485,9th Aug 2009,Make and share this Low-Fat Berry Blue Frozen Dessert recipe from Food.com.,"['https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/YUeirxMLQaeE1h3v3qnM_229%20berry%20blue%20frzn%20dess.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/AFPDDHATWzQ0b1CDpDAT_255%20berry%20blue%20frzn%20dess.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/UYgf9nwMT2SGGJCuzILO_228%20berry%20blue%20frzn%20dess.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/PeBMJN2TGSaYks2759BA_20140722_202142.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/picuaETeN.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/38/pictzvxW5.jpg']",Frozen Desserts,"['4', '1/4', '1', '1']","['blueberries', 'granulated sugar', 'vanilla yogurt', 'lemon juice']",170.9,2.5,1.3,8,29.8,37.1,3.6,30.2,3.2,4,NA,"['Toss 2 cups berries with sugar.', 'Let stand for 45 minutes, stirring occasionally.', 'Transfer berry-sugar mixture to food processor.', 'Add yogurt and process until smooth.', ""Strain through fine sieve. Pour into baking pan (or transfer to ice cream maker and process according to manufacturers' directions). Freeze uncovered until edges are solid but centre is soft.  Transfer to processor and blend until smooth again."", 'Return to pan and freeze until edges are solid.', 'Transfer to processor and blend until smooth again.', 'Fold in remaining 2 cups of blueberries.', 'Pour into plastic mold and freeze overnight. Let soften slightly to serve.']"
40,Best Lemonade,1566,Stephen Little,5,30,35,5th Sep 2015,"This is from one of my  first Good House Keeping cookbooks.  You must use a *zester* in order to avoid getting any of that bitter rind, and when you zest the lemons, zest them onto some sugar from the recipe (the sugar will 'catch' all of the oils).  I also advise you from personal experience to use only the best skinned lemons for the best flavor.","['https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/40/picJ4Sz3N.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/40/pic23FWio.jpg']",Beverages,"['1 1/2', '1', 'NA', '1 1/2', 'NA', '3/4']","['sugar', 'lemons, rind of', 'lemon, zest of', 'fresh water', 'fresh lemon juice']",311.1,0.2,0,0,1.8,81.5,0.4,77.2,0.3,4,NA,"['Into a 1 quart Jar with tight fitting lid, put sugar and lemon peel, or zest;  add 1 1/2 cups very hot water (not from tap!). With lid fitted firmly, shake jar until sugar is dissolved.', 'Add lemon juice. Refrigerate until chilled.', 'To Serve: Into each 12-ounce glass, over ice cubes, pour 1/4 cup of the lemon syrup.', 'Then add chilled club soda or, if you prefer, water.', 'Stir to mix well.']"
41,Carina's Tofu-Vegetable Kebabs,1586,Cyclopz,20,1440,1460,3rd Sep 2013,This dish is best prepared a day in advance to allow the ingredients to soak in  the marinade overnight.,"['https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/41/picmbLig8.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/41/picL02w0s.jpg']",Soy/Tofu,"['12', '1', '2', '1', '10', '1', '3', '2', '2', '2', '1', '2', '1/2', '1/4', '4']","['extra firm tofu', 'eggplant', 'zucchini', 'mushrooms', 'soy sauce', 'low sodium soy sauce', 'olive oil', 'maple syrup', 'honey', 'red wine vinegar', 'lemon juice', 'garlic cloves', 'mustard powder', 'black pepper']",536.1,24,3.8,0,1558.6,64.2,17.3,32.1,29.3,2,4 kebabs,"['Drain the tofu, carefully squeezing out excess water,  and pat dry with paper towels.', 'Cut tofu into one-inch squares.', 'Set aside.  Cut  eggplant lengthwise in half, then cut each half into approximately three strips.', 'Cut strips crosswise into one-inch cubes.', 'Slice zucchini into half-inch thick  slices.', 'Cut red pepper in half, removing stem and seeds, and cut each half into  one-inch squares.', 'Wipe mushrooms clean with a moist paper towel and remove  stems.', 'Thread tofu and vegetables on to barbecue skewers in alternating color  combinations: For example, first a piece of eggplant, then a slice of tofu, then zucchini, then red pepper, baby corn and mushrooms.', 'Continue in this way until  all skewers are full.', 'Make the marinade by putting all ingredients in a  blender, and blend on high speed for about one minute until mixed.', 'Alternatively, put all ingredients in a glass jar, cover tightly with the lid  and shake well until mixed.', 'Lay the kebabs in a long, shallow baking pan or on  a non-metal tray, making sure they lie flat. Evenly pour the marinade over the  kebabs, turning them once so that the tofu and vegetables are coated.', 'Refrigerate the kebabs for three to eight hours, occasionally spooning the  marinade over them.', 'Broil or grill the kebabs at 450 F for 15-20 minutes, or on the grill, until the vegetables are browned.', 'Suggestions  This meal can be served over cooked, brown rice. Amounts can easily be doubled to make four servings.']"
42,Cabbage Soup,1538,Duckie067,30,20,50,19th Sep 2010,Make and share this Cabbage Soup recipe from Food.com.,"['https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/picVEMxk8.jpg']",Vegetable,"['46', '4', '1', '2', '1']","['plain tomato juice', 'cabbage', 'onion', 'carrots', 'celery']",103.6,0.4,0.1,0,959.3,25.1,4.8,17.7,4.3,4,NA,"['Mix everything together and bring to a boil.', 'Reduce heat and simmer for 30 minutes (longer if you prefer your veggies to be soft).', 'Refrigerate until cool.', 'Serve chilled with sour cream.']"
44,Warm Chicken A La King,1596,Joan Edington,3,35,38,17th Sep 2014,"I copied this one out of a friend's book so many moons ago that I can't remember where it's from, but it's so decadently fattening that I can't resist pigging out now and then.  I  usually serve with rice, but I suppose it would go with noodles or new potatoes  just as well.","['https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/44/picsSKvFd.jpg']",Chicken,"['12', '2', '3', '450', '1', '2', '1/4', '1', 'NA', 'NA', '2', '2', '1', 'NA']","['chicken', 'butter', 'flour', 'milk', 'celery', 'button mushrooms', 'green pepper', 'canned pimiento', 'salt', 'black pepper', 'Worcestershire sauce', 'parsley']",895.5,66.8,31.9,405.8,557.2,29.1,3.1,5,45.3,2,NA,"['Melt 1 1/2 ozs butter, add the flour and cook for 2 to 3 minutes, stirring.', 'Gradually add milk and cook, stirring, until thick and smooth.', 'Melt the  remaining butter and saute sliced celery, button mushrooms and chopped pepper  until soft but not coloured.', 'Add celery, mushrooms, pepper, chicken and  pimiento to the sauce and heat through.', 'Season to taste.  Combine the egg  yolks, double cream and Worcestershire sauce. Add to the chicken mixture and  heat through.', 'Transfer to a serving dish and sprinkle with chopped parsley.']"
45,Buttermilk Pie With Gingersnap Crumb Crust,1580,tristitia,50,30,80,6th Aug 2014,Make and share this Buttermilk Pie With Gingersnap Crumb Crust recipe from Food.com.,"['https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/45/pic79tPh5.jpg']",Pie,"['3/4', '1', '1', '2', '3', '1/4', '1', '1/2', '1/2', '2']","['sugar', 'margarine', 'egg', 'flour', 'salt', 'buttermilk', 'graham cracker crumbs', 'margarine']",228,7.1,1.7,24.5,281.8,37.5,0.5,24.7,4.2,8,NA,"['Preheat oven to 350°F.', 'Make pie crust, using 8 inch pie pan, do not bake.', 'Mix sugar and margarine in medium bowl until blended; beat in egg whites and egg.', 'Stir in flour, salt, and buttermilk until well blended.', 'Pour filling into prepared crust, bake 40 minutes or until sharp knife inserted near center comes out clean.', 'Sprinkle with nutmeg and serve warm or chilled.', 'Combine graham crumbs, gingersnap crumbs, and margarine in 8 or 9 inch pie pan, pat mixture evenly on bottom and side of pan.', 'Bake 8 to 10 minutes or until edge of crust is lightly browned.', 'Cool on wire rack.']"
49,Chicken Breasts Lombardi,174711,Queen Dragon Mom,30,45,75,14th Aug 2010,Make and share this Chicken Breasts Lombardi recipe from Food.com.,"['https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/m1z1F8S5mAZgyImm5zYw_Lombardi%20Chicken%203.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/01481162521.jpeg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/Sa0Yu0UyRoyh1B03oLnD_20161102_174049.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/01477708512.jpeg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/tHou0UsyTiAsfQo29Fpi_Lombardi%20Chicken%202.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/X2b0bl8aTGivq4ErsD3g_Lombardi%20chicken%201.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/picvZU6rd.jpg']",Chicken Breast,"['2', '2', '12', '1/2', '1/3', '3/4', '1/2', '1/2', '1/2', '1/2', '1/4']","['fresh mushrooms', 'butter', 'boneless skinless chicken breast halves', 'flour', 'butter', 'marsala', 'chicken broth', 'salt', 'mozzarella cheese', 'parmesan cheese', 'green onion']",627.7,24.9,13,203,848.9,13.7,0.6,2,57.9,6,NA,"['Cook mushrooms in 2 tbsp butter in a large  skillet, stirring constantly, just   until tender.', 'Remove from heat; set aside.  Cut each chicken breast half in  half lengthwise.   Place each piece of chicken  between two sheets of wax paper; flatten to  1/8"" thickness, using a meat  mallet or rolling pin.', 'Dredge chicken pieces in flour.', 'Place 5 or 6  pieces of chicken in 1 to 2  tbsp butter in a  large skillet; cook over medium  heat 3 to 4 minutes on each  side or until  golden.', 'Place chicken in a lightly  greased 13x9"" baking dish,  overlapping  edges.', 'Repeat procedure with  remaining chicken and butter.', 'Reserve pan  drippings in skillet.  Sprinkle  reserved mushrooms over chicken.', 'Add wine and  broth to skillet.  Bring to a boil;  reduce heat, and simmer,  uncovered, 10  minutes, stirring occasionally.', 'Stir in salt and pepper.', 'Pour  sauce over  chicken.', 'Combine cheeses and green  onions; sprinkle over chicken.', 'Bake  uncovered at 450 for 12 to 14 minutes.', 'Broil 5 1/2"" away from heat 1 to  2  minutes or until browned.']"
52,Cafe Cappuccino,2178,troyh,0,5,5,31st Aug 2013,Make and share this Cafe Cappuccino recipe from Food.com.,"['https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/picAkC0UW.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/piccYWEE1.jpg']",Beverages,"['1/2', '3/4', '1', '1/2']","['instant coffee', 'sugar', 'nonfat dry milk solid']",62.2,0.1,0,1.3,36.6,12.8,0,11.8,2.7,18,2 1/4 cups,"['Stir ingredients together.', 'Process in a blender until powdered.', 'Use 2 Tbsp.  of mixture for each cup of hot water.']"
54,Carrot Cake,1535,Marg CaymanDesigns,50,45,95,13th Sep 2010,This is one of the few recipes my husband every requested from a coworker and brought home for me to make.,"['https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/picQ2X4D8.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/pic3oloIV.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/picf0dw0o.jpg']",Dessert,"['3', '4', '1 1/4', '2', '2', '2', '2', '1', '1', '1/2', '1', '1 1/4', '1', '1', '1/2']","['carrots', 'eggs', 'white sugar', 'all-purpose flour', 'baking powder', 'baking soda', 'cinnamon', 'salt', 'nutmeg', 'golden raisin', ""confectioners' sugar"", 'cream cheese', 'light corn syrup', 'vanilla extract']",522.6,27.1,4.9,69.8,534.8,67,1.6,47.9,5,12,1 bundt,"['Beat together the eggs, oil, and white sugar. Blend mixture for thirty seconds.', 'Sift together flour, baking powder, baking soda, salt and spices. Add the  carrots and raisins.', 'Pour egg mixture into dry ingredients, and mix well. Pour  batter into well greased 10 inch tube or Bundt pan.', 'Bake at 350 degrees F (175  degrees C) oven for 45 to 50 minutes. Cool cake on wire rack, and then  refrigerate until completely cooled.', ""To make Cream Cheese Glaze: Blend together  confectioners' sugar, cream cheese, corn syrup, and vanilla. Spread over cooled  cake.""]"
55,Betty Crocker's Southwestern Guacamole Dip,1538,Duckie067,120,5,125,15th Sep 2012,Make and share this Betty Crocker's Southwestern Guacamole Dip recipe from Food.com.,"['https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/55/piclZzIyA.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/55/picMUqRBi.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/55/picmeltus.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/55/picO6xTtc.jpg', 'https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/55/pic1hlVfW.jpg']",Southwestern U.S.,"['5', '1', '1/2', '4', '1/4']","['avocados', 'tomatoes', 'salt', 'garlic', 'lime juice']",415.9,36.9,5.4,0,310.6,24.9,17.3,2.8,5.5,4,NA,"['Peel and mash avocados until lumpy.', 'Add remaining ingredients and chill for 1 - 2 hours.']"
